sponsor,book_aum_B,book_aw_fee,incumbent_aw_fee,n_launches_2020_25,med_launch_fee,launch_active_share,launch_fee_multiple,new_aum_share,new_rev_share
Vanguard,7013.379789282114,0.00041920205590884307,0.00041867799170991157,11,0.001,0.45454545454545453,2.3884704230951495,0.0009494035458487407,0.002198363666971774
BlackRock (iShares),3013.468751281751,0.0015019677802277412,0.0014924596672095736,155,0.002,0.2838709677419355,1.3400697144059952,0.013474807316190645,0.019719943297659567
State Street (SPDR),741.2562578022278,0.0011722720042359378,0.001166425571608143,35,0.0015,0.7142857142857143,1.2859800372277164,0.008627815769815451,0.013572052826768198
Schwab,412.05609436641026,0.0006859671614475218,0.0006973418501409759,9,0.0005,0.2222222222222222,0.7170084513053664,0.034096196347633584,0.018079605916125566
Invesco,313.73184689661696,0.002805809503472224,0.002840519327161505,58,0.0022500000000000003,0.2413793103448276,0.792108674806447,0.035870796436684664,0.023991211825807955
Dimensional,191.95575648720077,0.0021613935930332663,0.0019847649646709737,25,0.00245,1.0,1.2344030873228111,0.2511087869296318,0.3123080188435003
JPMorgan,185.51607828875922,0.002639361019021717,0.0019056247929713777,43,0.0035,0.7441860465116279,1.8366679594583601,0.5207344979273029,0.6540246750913359
First Trust,150.31007705915997,0.006911383481004289,0.006343009836845112,156,0.0085,0.9166666666666666,1.3400578303734325,0.2908102244428741,0.34922911378830085
VanEck,90.88917555840393,0.004158814353072165,0.004156412818820511,28,0.0049,0.35714285714285715,1.1789011856118998,0.023205164386349036,0.024172926393247418
Fidelity,89.70195833120539,0.002188226674777956,0.0019016040416004528,40,0.00465,0.75,2.445304016122308,0.11553641934698589,0.23138697695071023
ALL '40 Act ETFs,13036.181118986031,0.001257972093368176,,2623,0.006,0.6904308044224171,,0.042882996497318214,0.15439617357037336
