sponsor,launch_year,n,med_launch_fee,active_share,levinv_share
BlackRock (iShares),2020,20,0.0018,0.0,0.0
BlackRock (iShares),2021,32,0.0014,0.1875,0.0
BlackRock (iShares),2022,12,0.00265,0.16666666666666666,0.0
BlackRock (iShares),2023,27,0.004,0.2962962962962963,0.0
BlackRock (iShares),2024,35,0.0011,0.42857142857142855,0.0
BlackRock (iShares),2025,29,0.0035,0.4482758620689655,0.0
Dimensional,2022,2,0.00265,1.0,0.0
Dimensional,2023,10,0.0034999999999999996,1.0,0.0
Dimensional,2024,8,0.00215,1.0,0.0
Dimensional,2025,5,0.0024000000000000002,1.0,0.0
Fidelity,2020,6,0.0052,0.6666666666666666,0.0
Fidelity,2021,10,0.0059,0.9,0.0
Fidelity,2022,9,0.0039,0.3333333333333333,0.0
Fidelity,2023,1,0.0055,1.0,0.0
Fidelity,2024,8,0.005,1.0,0.0
Fidelity,2025,6,0.0033,0.8333333333333334,0.0
First Trust,2020,22,0.0085,1.0,0.0
First Trust,2021,26,0.0085,0.9615384615384616,0.0
First Trust,2022,15,0.0085,0.6666666666666666,0.0
First Trust,2023,20,0.0085,0.85,0.0
First Trust,2024,38,0.0085,0.9473684210526315,0.0
First Trust,2025,35,0.0085,0.9428571428571428,0.0
Invesco,2020,11,0.0018,0.0,0.0
Invesco,2021,8,0.00185,0.0,0.0
Invesco,2022,14,0.00405,0.35714285714285715,0.0
Invesco,2023,6,0.0031,0.3333333333333333,0.0
Invesco,2024,12,0.0037,0.3333333333333333,0.0
Invesco,2025,7,0.0029,0.42857142857142855,0.0
JPMorgan,2020,3,0.0005,0.3333333333333333,0.0
JPMorgan,2021,3,0.0007,0.3333333333333333,0.0
JPMorgan,2022,10,0.0029,0.8,0.0
JPMorgan,2023,6,0.0049,1.0,0.0
JPMorgan,2024,14,0.0032500000000000003,0.6428571428571429,0.0
JPMorgan,2025,7,0.004,1.0,0.0
Schwab,2020,3,0.0005,0.0,0.0
Schwab,2021,1,0.0014,0.0,0.0
Schwab,2022,1,0.0059,1.0,0.0
Schwab,2023,3,0.0003,0.0,0.0
Schwab,2025,1,0.0014,1.0,0.0
State Street (SPDR),2021,5,0.0014,0.2,0.0
State Street (SPDR),2022,8,0.0014,0.375,0.0
State Street (SPDR),2024,3,0.0005,1.0,0.0
State Street (SPDR),2025,19,0.002,0.9473684210526315,0.0
VanEck,2020,1,0.0036,0.0,0.0
VanEck,2021,4,0.00375,0.0,0.0
VanEck,2022,5,0.0059,0.4,0.0
VanEck,2023,8,0.0046,0.5,0.0
VanEck,2024,6,0.0049499999999999995,0.16666666666666666,0.0
VanEck,2025,4,0.0027,0.75,0.0
Vanguard,2021,1,0.0012,0.0,0.0
Vanguard,2024,3,0.001,0.6666666666666666,0.0
Vanguard,2025,7,0.0008,0.42857142857142855,0.0
