year,n,med_fee,med_fee_active,med_fee_passive
2011.0,649,0.0053,0.0055,0.0053
2012.0,164,0.0059,0.007,0.0059
2013.0,98,0.0045,0.006,0.00395
2014.0,140,0.006,0.0094,0.0055
2015.0,185,0.0045,0.008,0.0045
2016.0,174,0.0049499999999999995,0.006200000000000001,0.0046
2017.0,238,0.004,0.0055,0.0035
2018.0,310,0.00435,0.004,0.0045
2019.0,235,0.005,0.0079,0.00395
2020.0,341,0.006,0.0075,0.0036
2021.0,450,0.006,0.0069,0.005
2022.0,417,0.0059,0.0065,0.005
2023.0,550,0.0058,0.0066,0.0035
2024.0,769,0.0065,0.0069,0.005
2025.0,347,0.0069,0.007,0.0049499999999999995
