pair,leg,fund,year,aum_B,fee
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2018,37.851389690491544,0.0067
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2019,31.27988449146,0.0068
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2020,24.426078908740003,0.007
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2021,28.727267910893083,0.0068
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2022,28.227695124020002,0.0069
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2023,23.559432140202308,0.007
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2024,18.139297408913073,0.0072
EEM/IEMG,zombie,iShares MSCI Emerging Markets ETF,2025,17.472047102573075,0.0072
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2018,45.42689470159307,0.0014
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2019,54.21737543528,0.0013
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2020,53.364455324949994,0.0011
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2021,71.1668664286923,0.0009
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2022,73.08208866544615,0.0009
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2023,67.05561033165,0.0009
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2024,74.6189440385646,0.0009
EEM/IEMG,twin,iShares Core MSCI Emerging Markets ETF,2025,85.83744660856384,0.0009
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2018,79.38454654,0.0031
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2019,65.009700143,0.0032
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2020,55.01731402803,0.0032
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2021,52.18759017052385,0.0032
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2022,53.55998932086462,0.0033
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2023,46.89239467973385,0.0033
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2024,50.917496632192304,0.0032
EFA/IEFA,zombie,iShares MSCI EAFE ETF,2025,58.206492578479235,0.0032
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2018,47.296136176,0.0008
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2019,59.14746664285,0.0007
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2020,66.60947018742,0.0007
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2021,83.13918150290846,0.0007
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2022,97.63873688166233,0.0007
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2023,91.46706185467077,0.0007
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2024,107.38063599850616,0.0007
EFA/IEFA,twin,iShares Core MSCI EAFE ETF,2025,128.05837380438615,0.0007
